question,answer
火灾按照对象性质分类，A类火灾是？,固体火灾
火灾按照对象性质分类，B类火灾是？,液体火灾
火灾按照对象性质分类，C类火灾是？,气体火灾
火灾按照对象性质分类，D类火灾是？,金属火灾
火灾按照对象性质分类，E类火灾是？,电器火灾
火灾按照对象性质分类，F类火灾是？,烹饪器具内的烹饪物火灾
火灾按照严重程度划分时，一般火灾和较大火灾的分界线为（死亡 重伤 财产损失w）,3 10 1000
火灾按照严重程度划分时，较大火灾和重大火灾的分界线为（死亡 重伤 财产损失w）,10 50 5000
火灾按照严重程度划分时，重大火灾和特别重大火灾的分界线为（死亡 重伤 财产损失w）,30 100 10000
"灭火方法包括如下:
1.冷却灭火
2.隔离灭火
3.窒息灭火
4.化学抑制灭火",1234
泡沫灭火系统包含隔离灭火吗,包含
关阀门属于,隔离灭火
灌入惰性气体属于,窒息灭火
典型的化学抑制灭火方法包括,干粉 七氟丙烷
易燃气体甲乙类分界点,0.1
易燃液体甲乙类分界点,28度
易燃液体乙丙类分界点,60度
甲类仓库和厂房的关键词是,甲乙丙烷苯烯氢磷
"大于38度的白酒惨况属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"石脑油仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"二硫化碳仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"碳化钙仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"碳化铝仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"氯酸X仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"XX棉仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"硝化纤维胶片仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"硝酸铵仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"工厂中橡胶制品涂胶部位 和 胶浆部位属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"各种制药 制造农药工厂属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"工厂中各种裂解属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"磺化法糖精厂属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"焦化厂吡啶工段属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"环己酮厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"各种白兰地车间属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"白酒液态法酿酒车间，究竟蒸馏塔属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"大于等于38度的白酒勾兑/灌装/酒泵房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"赛璐珞厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"植物油浸出车间属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"在封闭的设备中操作自然物高于自然点的厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",1
"丁烯醇仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"乙酸丙酮仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"樟脑油仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"甲酸仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"硫磺仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"赛璐珞板 片仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"硝化纤维色片仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"油布 漆布仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"氧气/氟气/液氯仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"甲酚厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"环氧氯丙烷厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"硫磺回收厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"金属制品抛光部位属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"面粉厂的粘膜部位属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",2
"日常用品仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"糖醛仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"白兰地仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"大于2mm的成形硫磺仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"苯甲酸工厂属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"苯乙酮工厂属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"植物油的精炼部位属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"配电室 油大于6kg属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",3
"酚醛泡沫塑料仓库属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",4
"高温加工不然物的厂房属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",4
"电极燃烧配电室 油 不大于 6kg属于？
1.甲类
2.乙类
3.丙类
4.丁类
5.戊类",4
"丙1类为？
1.气体
2.液体",1
"丙2类为？
1.气体
2.液体",2
"仓库中，多种危险品一起存储，按照
1.高危险性物质确定
2.低危险性物质确定",1
"丁戊类仓库，若丙类包装物体积超过被包装物的多少时定为乙类仓库？
1 0.5
2 0.25",1
"丁戊类仓库，若丙类包装物重量超过被包装物的多少时定为乙类仓库？
1 0.5
2 0.25",2
"工厂中，若较危险的物品占比少于5%，且有措施，则工厂的危险分类
1 按照低风险物品确定
2 按照高风险物品确定",1
"丁戊类工厂中，喷漆工段占比少于10%，且有措施，则工厂的危险分类
1 按照低风险物品确定
2 按照高风险物品确定",1
"丁戊类工厂中，喷漆工段占比小于或等于20%，且封闭喷漆，且保持负压，且自动报警自动抑制，则
1 按照低风险物品确定
2 按照高风险物品确定",1
民用建筑分类中，住宅单多与高层的分界为多少米,27
民用建筑分类中，住宅一类高二类高的分界为多少米,54
民用建筑分类中，公共建筑单多与高层的分界为多少米,24
民用建筑分类中，公共建筑一类高二类高的分界为多少米,50
"超过24m，单层公共建筑属于
1.单多层
2.高层",1
"高层中重要公共建筑属于
1.一类高
2.二类高",1
"高层医疗建筑属于
1.一类高
2.二类高",1
"高层独立养老设施属于
1.一类高
2.二类高",1
"高层超过100w册图书的图书馆属于
1.一类高
2.二类高",1
"高层升级广播电视台属于
1.一类高
2.二类高",1
"高层防灾指挥中心属于
1.一类高
2.二类高",1
"高层网局级 省级电力调度中心属于
1.一类高
2.二类高",1
"高层商展电邮金建筑，且高于24m部分任意层超过1000平方米，或多种组合，但不包括住宅属于
1.一类高
2.二类高",1
"建筑材料燃烧性能等级中，A级为：
1.不然物
2.难燃物
3.可燃物
4.易燃物",1
"建筑材料燃烧性能等级中，B1级为：
1.不然物
2.难燃物
3.可燃物
4.易燃物",2
"建筑材料燃烧性能等级中，B2级为：
1.不然物
2.难燃物
3.可燃物
4.易燃物",3
"建筑材料燃烧性能等级中，B3级为：
1.不然物
2.难燃物
3.可燃物
4.易燃物",4
"建筑材料燃烧性能附加信息标识，GB8624B1(B-s1,d0,t1)中的s1代表：
1.产烟特性
2.低落物特性
3.烟气毒性特性",1
"建筑材料燃烧性能附加信息标识，GB8624B1(B-s1,d0,t1)中的d0代表：
1.产烟特性
2.低落物特性
3.烟气毒性特性",2
"建筑材料燃烧性能附加信息标识，GB8624B1(B-s1,d0,t1)中的t1代表：
1.产烟特性
2.低落物特性
3.烟气毒性特性",3
"建筑材料的耐火性能包括：
1.燃烧性能
2.耐火极限",12
"建筑材料的燃烧性能包括：
1.A
2.B1
3.B2
4.B3",123
"建筑材料的耐火极限包括：
1.承载能力
2.完整性
3.隔热性",123
"一二级建筑的建筑构件默认采用：
1.不燃材料
2.难燃材料
3.可燃材料",1
二级建筑的建筑中可以采用难燃材料的构件是,吊顶包括格栅
防火墙的耐火等级,3
一级建筑楼板的耐火等级,1.5
一级建筑屋顶承重构件的耐火等级,1.5
一级建筑疏散楼梯的耐火等级,1.5
一级建筑梁的耐火等级,2
一级建筑柱子的耐火等级,3
一级建筑承重墙的耐火等级,3
一级民用建筑非承重墙的耐火等级是,1
一级工业建筑非承重墙的耐火等级是,0.75
一级房间隔墙的耐火等级是,0.75
一级建筑楼梯间和前室的墙，电梯井墙，住宅单元墙，分户墙的耐火等级是,2
一级建筑疏散走道两侧的隔墙的耐火等级是,1
一级建筑吊顶包括格栅的耐火等级是,0.25
二级建筑楼板的耐火等级,1
二级建筑屋顶承重构件的耐火等级,1
二级建筑疏散楼梯的耐火等级,1
二级建筑梁的耐火等级,1.5
二级建筑柱子的耐火等级,2.5
二级建筑承重墙的耐火等级,2.5
二级民用建筑非承重墙的耐火等级是,1
二级工业建筑非承重墙的耐火等级是,0.5
二级房间隔墙的耐火等级是,0.5
二级建筑楼梯间和前室的墙，电梯井墙，住宅单元墙，分户墙的耐火等级是,2
二级建筑疏散走道两侧的隔墙的耐火等级是,1
二级建筑吊顶包括格栅的耐火等级是,0.25
三级民用建筑楼板的耐火等级,0.5
三级工业建筑楼板的耐火等级,0.75
三级建筑屋顶承重构件的耐火等级,0.5
三级民用建筑疏散楼梯的耐火等级,0.5
三级工业建筑疏散楼梯的耐火等级,0.75
三级建筑梁的耐火等级,1
三级建筑柱子的耐火等级,2
三级建筑承重墙的耐火等级,2
三级民用建筑非承重墙的耐火等级是,0.5
三级工业建筑非承重墙的耐火等级是,0.5
三级房间隔墙的耐火等级是,0.5
三级建筑楼梯间和前室的墙，电梯井墙，住宅单元墙，分户墙的耐火等级是,1.5
三级建筑疏散走道两侧的隔墙的耐火等级是,0.5
三级建筑吊顶包括格栅的耐火等级是,0.15
"三级建筑房间隔墙采用
1.不然材料
2.难燃材料
3.可燃材料",2
"三级建筑房吊顶包括格栅采用
1.不然材料
2.难燃材料
3.可燃材料",2
"三级民用建筑屋顶承重构件采用
1.不然材料
2.难燃材料
3.可燃材料",3
"三级工业建筑屋顶承重构件采用
1.不然材料
2.难燃材料
3.可燃材料",2
甲乙类物品不设置在地下半地下，是否,是
"高层建筑不低于
1.一级
2.二级
3.三级
4.四级",2
"民用建筑地下室不低于
1.一级
2.二级
3.三级
4.四级",1
"民用建筑一类高不低于
1.一级
2.二级
3.三级
4.四级",1
"民用建筑二类高不低于
1.一级
2.二级
3.三级
4.四级",2
"民用建筑重要单多曾不低于
1.一级
2.二级
3.三级
4.四级",2
